age_CE,KAP01A_raw,KAP01B_raw,KAP02A_raw,KAP02B_raw,KAP02C_raw,KAP02D_raw,KAP02E_raw,KAP02F_raw,KAP01A_raw_outlier_flag,KAP01B_raw_outlier_flag,KAP02A_raw_outlier_flag,KAP02B_raw_outlier_flag,KAP02C_raw_outlier_flag,KAP02D_raw_outlier_flag,KAP02E_raw_outlier_flag,KAP02F_raw_outlier_flag
1793,3.23,3.26,1.65,2.07,1.86,1.83,0.81,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1794,3.42,3.55,4.46,4.98,4.58,4.34,1.8,2.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1795,3.29,3.6,2.81,3.26,2.76,2.71,1.03,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1796,2.81,3.1,2.39,2.33,2.34,2.26,0.93,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1797,3.6,4.07,2.04,2.15,2.13,2.15,0.65,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1798,3.44,3.66,2.36,2.47,2.59,2.43,0.83,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1799,4.03,4.62,1.52,1.56,1.77,1.74,0.7,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1800,3.92,3.98,1.88,1.87,2.3,2.34,0.8,0.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1801,4.84,4.73,2.17,2.2,4.2,4.3,0.68,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1802,3.8,3.89,1.74,1.94,3.54,3.29,0.53,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1803,3.45,3.54,3.17,3.7,4.52,4.63,0.91,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
