"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877"
"43","MT","PSME","M","5C","PSME-M-5C",0.779,1.147,1.4785,1.401,1.0535,0.862,0.819,1.1875,1.4125,1.265,1.4405,1.16,1.0725,1.2465,1.3,1.518,1.3415,1.906,1.599,2.432,1.3815,1.5295,2.209,2.286,0.8895,1.4135,1.13,1.1925,1.0265,1.1865,1.591,1.363,1.576,1.0045,1.5535,2.8655,1.7085,1.9475,1.003,1.036,1.206,1.3435,1.512,1.036,1.443,1.446,1.6365,2.4345,2.6875,1.961,2.497,1.551,1.4795,1.9195,1.7735,1.669,2.0185,2.031,2.5705,1.891,1.7885,2.136,2.2735,2.368,2.858,3.6845,3.412,3.405,3.2515,2.1915,1.916,3.08,2.897,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","MT","PSME","M","5N","PSME-M-5N",0.5045,0.501,0.6935,0.6245,0.734,0.5745,0.607,0.6815,0.759,0.637,0.8405,1.0655,0.803,1.2985,1.033,1.5595,1.16,1.4015,1.4335,1.4565,1.227,1.1105,1.168,1.662,0.7985,1.167,1.03,1.029,0.6955,1.2005,1.5365,1.232,2.053,1.478,1.2435,1.9575,1.3205,1.583,0.951,0.701,0.9835,0.9895,1.4655,1.2075,1.5105,1.142,0.92,1.4145,1.5085,1.2465,1.5195,1.0385,1.1325,1.1465,1.1345,1.333,1.6145,1.2545,2.037,2.0675,1.6315,1.589,1.4635,2.142,1.725,2.4765,2.441,2.139,1.926,1.8055,2.8185,2.8905,2.58,1.945,2.262,2.327,2.058,1.5635,1.953,2.722,2.718,2.732,2.5805,2.9315,2.5275,2.2945,2.322,2.402,2.965,3.109,3.762,2.757,3.611,2.712,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","MT","PSME","M","6C","PSME-M-6C",0.68,0.971,1.3745,1.46,1.1745,0.878,0.931,1.2905,1.4695,1.755,1.9435,1.995,1.449,1.809,1.7805,2.03,1.4485,1.762,2.045,1.9695,1.47,1.6835,1.94,2.0095,1.7575,1.876,2.232,1.895,1.2315,1.4045,1.5555,1.4895,1.8945,1.3315,1.274,1.6995,1.465,1.7885,1.067,1.171,1.1875,1.066,1.5425,1.677,1.817,1.5335,1.556,1.782,2.256,2.0825,2.2615,1.408,1.4915,1.7325,1.6625,1.6085,1.6645,1.455,1.779,1.59,1.276,1.9845,1.141,1.841,1.523,1.375,1.185,1.185,1.079,1.015,1.502,1.629,1.266,0.824,0.74,0.717,0.651,0.42,0.63,0.609,0.441,0.546,0.504,0.525,0.735,0.966,0.775,0.81,0.911,0.868,1.054,0.797,1.048,0.801,1.321,0.54,0.465,0.817,2.163,2.049,0.788,0.85,1.17,2.651,0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","MT","PSME","M","6N","PSME-M-6N",0.274,0.676,2.306,2.331,1.896,1.251,1.455,2.409,2.648,1.579,1.41,2.042,1.817,1.167,1.1105,1.6575,1.451,1.4135,1.41,1.9755,1.6565,1.271,1.186,1.8205,1.083,1.235,1.367,1.555,1.1595,1.4155,1.4715,1.283,1.926,1.398,1.3165,1.7195,1.1895,1.5095,0.9225,0.856,0.7705,0.7395,0.6295,1.4115,1.6575,1.6225,1.132,2.067,2.391,1.9705,2.3165,1.4595,1.339,1.4735,1.2805,1.3325,1.688,1.5205,2.0425,1.843,1.581,1.939,1.628,2.249,2.2245,2.417,2.099,2.072,1.8775,1.714,2.192,2.361,1.719,1.15,1.0485,1.477,1.15,0.859,1.155,1.572,1.077,1.198,0.736,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","MT","PSME","M","7C","PSME-M-7C",0.055,0.1305,0.1375,0.165,0.262,0.361,0.398,0.5635,0.4685,0.4205,0.425,0.4285,0.3635,0.3765,0.409,0.438,0.6245,0.6515,0.764,0.933,0.495,0.7645,0.6815,0.569,0.412,0.6325,0.6475,0.87,0.5135,0.561,0.781,0.7785,0.8955,0.7905,0.7755,0.937,0.6935,0.6945,0.4775,0.468,0.9595,1.117,1.256,1.3135,0.828,0.9495,1.1605,1.7785,2.1395,2.095,2.057,1.3145,1.1115,1.4185,1.331,1.019,1.3385,1.3475,1.8405,1.631,1.852,1.783,1.7315,2.232,2.0585,2.2035,1.871,1.5635,1.389,1.3255,2.0885,1.9825,1.664,1.538,1.608,1.3335,0.865,0.643,0.858,0.619,0.649,0.775,0.723,0.7425,0.922,1.7725,1.2755,1.225,1.413,1.2685,1.1005,0.7525,1.673,1.079,1.347,0.726,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","MT","PSME","M","7N","PSME-M-7N",0.517,0.6555,0.783,0.882,1.2945,1.023,1.1405,1.171,1.429,1.399,0.983,1.288,1.35,1.435,1.7095,1.636,1.4575,1.4795,1.616,1.6695,1.2895,1.111,1.227,0.844,0.6865,0.824,0.8245,0.9835,0.7495,0.77,0.7595,0.8655,1.0645,0.9195,0.8985,0.7405,1.248,1.534,1.121,1.046,1.237,1.1905,1.3185,1.3725,1.3945,1.3825,1.2925,1.473,1.623,1.6355,1.736,1.3,1.351,1.5165,1.634,1.607,1.8325,1.6835,1.677,1.5875,1.667,1.64,1.9215,1.8295,1.4265,1.4465,1.3115,1.0785,1.07,1.0605,1.316,1.84,1.6535,1.205,0.9775,1.2895,1.302,1.1165,1.179,1.729,0.938,0.8825,0.6725,0.723,0.9155,1.396,0.5975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","MT","PSME","M","8C","PSME-M-8C",0.7505,0.7785,1.3365,1.6405,1.4115,1.244,1.3505,1.6245,1.676,1.245,1.3185,1.481,1.3645,1.9875,1.9345,2.0535,1.608,1.5525,1.4895,1.797,1.1975,1.2855,1.3795,1.371,1.0885,1.2445,1.33,1.3315,1.2445,1.6065,1.786,1.563,1.637,1.2685,1.374,1.848,1.586,1.8775,1.1745,1.1825,1.2475,1.364,1.702,1.733,1.5545,1.3215,1.3435,1.861,1.8615,1.5975,1.6395,1.1955,1.2375,1.448,1.3315,1.3425,1.7045,1.5575,1.88,1.487,1.5295,1.7495,1.7,2.0035,2.18,2.114,1.8685,1.735,1.6485,1.5605,2.026,2.0385,1.7695,1.38,1.947,1.795,1.333,0.9495,0.975,1.0985,1.4025,1.118,1.112,1.154,1.385,1.868,1.25,1.102,1.493,1.07,1.213,0.928,0.97,0.99,1.187,0.797,1.305,1.401,1.65,1.469,1.469,2.008,1.457,2.012,1.965,2.111,2.118,0.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","MT","PSME","M","8N","PSME-M-8N",1.33,2.0075,2.666,3.0155,2.86,1.987,2.186,2.7165,3.1565,2.4185,2.2885,2.065,1.806,2.0895,2.3515,2.732,2.2055,1.699,1.826,1.5305,1.4665,1.792,2.6045,2.593,2.2005,2.1715,1.7825,1.7795,1.2805,1.691,2.332,2.062,2.3115,1.553,1.5845,2.086,1.7835,1.857,1.343,1.2205,1.1905,1.213,1.4245,1.4465,1.501,1.3565,1.189,1.597,1.8035,1.677,1.77,1.203,1.1615,1.256,1.1075,1.1195,1.288,1.2795,1.6915,1.331,1.2695,1.0785,1.204,1.456,1.3825,1.613,1.4895,1.332,1.203,1.256,1.6225,1.649,1.6865,1.299,1.2485,1.069,1.075,0.9095,0.9995,1.134,1.057,1.1375,1.011,0.943,1.1425,2.098,1.289,1.014,1.506,1.436,1.612,1.1465,1.233,0.8285,1.171,0.842,1.278,1.76,1.914,1.915,1.942,2.356,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","MT","PSME","M","9C","PSME-M-9C",0.937,1.2255,1.4965,1.6375,1.8395,1.427,1.734,1.639,1.9015,1.4765,1.7295,1.8805,1.2945,2.134,1.923,2.6,2.0075,2.1235,1.8955,2.423,1.845,1.7265,2.15,2.3755,2.2505,2.2515,2.3485,1.8705,1.5755,2.189,2.2105,2.55,2.4755,1.6375,1.6875,2.246,1.772,2.0575,1.425,1.268,1.262,1.302,1.742,1.809,1.523,1.4635,1.506,1.826,2.2375,2.0775,2.366,1.638,1.9985,1.8375,1.78,1.899,2.0515,1.9005,1.9685,1.833,2.168,1.778,1.9835,2.502,2.0765,2.103,1.936,1.7395,1.6635,1.556,2.2655,2.1325,1.9095,1.579,1.627,1.943,1.6425,1.4945,1.318,1.7745,1.875,2.0185,2.235,1.1795,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","MT","PSME","M","9N","PSME-M-9N",1.214,1.6615,2.079,1.8845,1.184,0.9665,1.2355,1.314,1.456,1.16,0.963,1.1615,1.0915,1.2595,1.5005,1.927,1.7105,1.562,1.848,2.2015,1.638,0.7815,0.8665,1.4275,0.983,1.143,0.936,1.197,0.9205,0.94,0.868,0.8385,1.037,0.79,0.733,1.026,0.7825,0.993,0.502,0.4,0.465,0.55,0.9545,0.6985,0.7505,0.804,0.73,0.9185,0.9095,0.749,0.855,0.8215,0.5645,0.6805,0.6905,0.8355,0.8195,0.5495,0.786,0.403,0.518,0.444,0.3895,0.8045,0.6115,0.6345,0.563,0.585,0.6395,0.657,0.7165,0.4595,0.366,0.3875,0.252,0.284,0.282,0.184,0.296,0.298,0.244,0.2765,0.2255,0.2345,0.294,0.343,0.307,0.235,0.225,0.2615,0.3865,0.3105,0.4445,0.3655,0.506,0.4235,0.5265,0.6695,0.625,0.486,0.487,0.448,0.4375,0.3545,0.317,0.169,0.127,0.105,0.148,0.19,0.169,0.316,0.314,0.396,0.251,0.356,0.271,0.335,0.27,0.332,0.311,0.326,0.578,0.311,0.334,0.374,0.33,0.33,0.524,0.417,0.292,0.316,0.421,0.335,0.35,0.357,0.565
