age_CE,KLT02A_raw,KLT02B_raw,KLT03A_raw,KLT03B_raw,KLT04A_raw,KLT04B_raw,KLT06A_raw,KLT06B_raw,KLT02A_raw_outlier_flag,KLT02B_raw_outlier_flag,KLT03A_raw_outlier_flag,KLT03B_raw_outlier_flag,KLT04A_raw_outlier_flag,KLT04B_raw_outlier_flag,KLT06A_raw_outlier_flag,KLT06B_raw_outlier_flag
1616,0.67,0.49,1.4,1.49,1.63,1.6,0.33,0.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1617,0.98,0.73,1.71,1.7,2.26,2.19,0.3,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1618,0.8,0.72,1.25,1.25,2.18,2.21,0.27,0.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1619,0.73,0.82,1.26,1.27,1.73,1.71,0.38,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1620,0.82,0.87,0.87,1.27,1.37,1.43,0.34,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1621,1.09,1.25,1.23,1.62,1.82,1.76,0.35,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1622,1.82,1.75,2.55,2.48,3.32,3.35,0.55,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1623,1.7,1.45,1.61,1.52,2.73,2.74,0.58,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1624,2.29,1.96,1.3,1.39,2.43,2.4,0.48,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1625,1.86,1.43,1.19,1.29,2.17,2.17,0.39,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1626,1.36,1.13,0.78,0.86,1.76,1.72,0.29,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1627,1.33,1.27,1.07,1.12,1.75,1.77,0.34,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
