,jc-141,jc-132,jc-133,jc-179b,jc-180,jc-161,jc-129,jc-160,jc-131,jc-159,jc-180b,jc-179,jc-166,jc-182,jc-137,pr-938,pr-922,pr-970,pr-945,pr-947,pr-927,pr-949,pm-918a,pm-918b,pm-956a,pm-956b,pr-931,pr-953,pr-961,pr-925,pr-946,pr-969,pr-932,pr-941,pr-935,pr-946b,pr-950,pr-942,pr-964,pr-955,pr-923,pr-958,pr-944,pr-960,pr-939,pr-916,pr-959,pr-939b,pr-917,pr-966,pm-852,pm-891,pm-881,pm-906,pm-880b,pm-897b,pm-858,pm-837,pm-830,pm-899,pm-898,pm-884a,pm-884b,pm-842,pm-838a,pm-838b,pm-868,pm-887,pm-880a,pm-897,pm-840a,pm-840b,pm-827,pm-843,pm-892,pm-913,pm-905,pm-850,pm-903,pm-902,pm-886,pm-867,pm-825,pm-3,pm-822,pm-858b,pm-847,pm-856,pm-829,pm-831,pm-853b,pm-850b,pm-820,pm-914,pm-860,pm-912,pm-851,pm-846,pm-896,pm-885,mg-503,mg-520,mg-536,mg-516,mg-504,mg-486,mg-502,mg-534,mg-515,mg-520b,mg-498a,mg-509,mg-537,mg-525,mg-535,mg-517,mg-496,mg-527,mg-493a,mg-530b,mg-531,mg-521,mg-489,mg-512,mg-487,mg-493b,mg-495a,mg-529,mg-526,mg-524,mg-498b,mg-495b,mg-538,mg-527b,mg-508,mg-499b,mg-500,mg-484,mg-499,mg-522,mg-507,mg-488,mg-519,mg-p8,mg-p9
1869,.,.,.,.,.,.,.,.,.,.,.,.,550,.,1660,850,.,1410,920,490,.,390,370,730,.,920,790,660,1010,.,1010,.,1320,.,980,930,340,.,310,550,1460,1800,1170,2190,.,1170,1110,.,1070,.,1370,.,.,.,.,.,.,.,.,.,.,730,1120,.,.,.,.,710,.,.,.,.,.,.,.,2030,2860,1400,710,1690,.,.,.,.,1490,1580,.,1780,2350,2160,.,2230,2580,.,.,.,.,1650,1630,3010,1610,.,.,1860,.,1320,740,.,1340,.,.,970,1970,.,.,1060,1050,2100,.,.,.,.,580,1300,.,.,.,1210,1020,1040,2160,.,910,1980,2270,1100,2680,.,1020,2960,2200,860,.,900,1250
1868,.,.,.,.,.,.,.,.,.,.,.,.,580,.,1180,1100,.,1300,800,480,.,600,550,690,.,310,790,500,990,.,1010,.,1190,.,740,850,250,.,330,430,1400,1350,770,1570,.,910,920,.,980,.,1140,.,.,.,.,.,.,.,.,.,.,620,750,.,.,.,.,540,.,.,.,.,.,.,.,2370,3190,1310,490,1590,.,.,.,.,950,1440,.,1460,1970,1760,.,2040,2290,.,.,.,.,1380,1580,2930,1270,.,.,.,.,1000,530,.,1220,.,.,780,1410,.,.,810,920,1580,.,.,.,.,480,1170,.,.,.,810,1410,670,2110,.,950,1600,2140,1010,2620,.,1110,2190,2010,790,.,870,1320
1867,.,.,.,.,.,.,.,.,.,.,.,.,520,.,1210,1620,.,1360,810,580,.,240,480,710,.,380,720,590,1100,.,830,.,1460,.,980,820,370,.,430,430,1120,1280,760,1700,.,770,970,.,1190,.,1090,.,.,.,.,.,.,.,.,.,.,770,740,.,.,.,.,450,.,.,.,.,.,.,.,2060,2880,1200,370,1530,.,.,.,.,900,920,.,1000,2090,1870,.,2510,2480,.,.,.,.,1330,1440,2560,1310,.,.,.,.,1240,670,.,.,.,.,730,1160,.,.,740,940,1580,.,.,.,.,640,1080,.,.,.,910,.,510,1890,.,750,1710,1710,880,1950,.,980,2300,1420,770,.,820,1180
1866,.,.,.,.,.,.,.,.,.,.,.,.,530,.,1270,1820,.,1300,840,470,.,190,570,710,.,430,750,760,1080,.,710,.,970,.,860,830,340,.,930,430,1460,1190,700,1730,.,920,1060,.,1140,.,1060,.,.,.,.,.,.,.,.,.,.,1000,740,.,.,.,.,360,.,.,.,.,.,.,.,1900,3080,1580,390,1830,.,.,.,.,810,1210,.,1120,2680,2120,.,3090,.,.,.,.,.,1600,1620,2730,1140,.,.,.,.,710,640,.,.,.,.,.,1050,.,.,810,750,1690,.,.,.,.,480,760,.,.,.,690,.,700,1870,.,860,1710,1280,750,1340,.,850,2040,1230,860,.,790,1030
1865,.,.,.,.,.,.,.,.,.,.,.,.,540,.,1530,1300,.,1960,1310,770,.,290,590,820,.,520,830,770,1080,.,920,.,1280,.,1060,950,210,.,.,460,.,1070,940,2230,.,1110,970,.,1360,.,1080,.,.,.,.,.,.,.,.,.,.,1220,890,.,.,.,.,680,.,.,.,.,.,.,.,1630,3410,1280,580,1720,.,.,.,.,880,1520,.,990,3830,2290,.,2730,.,.,.,.,.,1540,1980,3660,990,.,.,.,.,920,650,.,.,.,.,.,950,.,.,700,680,1620,.,.,.,.,510,810,.,.,.,720,.,440,1590,.,700,1550,1600,730,1380,.,830,2220,1360,1090,.,760,970
1864,.,.,.,.,.,.,.,.,.,.,.,.,740,.,1390,620,.,2450,1910,870,.,270,780,850,.,480,1260,1020,1080,.,1040,.,1430,.,1390,1030,200,.,.,590,.,1390,1140,1860,.,1200,1150,.,1440,.,1250,.,.,.,.,.,.,.,.,.,.,1140,1010,.,.,.,.,530,.,.,.,.,.,.,.,1630,2740,1700,520,1790,.,.,.,.,1200,1960,.,1020,3660,2910,.,3130,.,.,.,.,.,.,2070,3400,1080,.,.,.,.,910,680,.,.,.,.,.,1350,.,.,750,880,1480,.,.,.,.,340,710,.,.,.,560,.,600,1560,.,910,1420,1490,940,.,.,970,2070,1480,780,.,1050,780
1863,.,.,.,.,.,.,.,.,.,.,.,.,610,.,1430,920,.,2330,.,570,.,620,790,540,.,510,1530,1120,1200,.,1150,.,1410,.,1470,1170,160,.,.,480,.,1210,1220,2200,.,1110,1060,.,1190,.,1130,.,.,.,.,.,.,.,.,.,.,980,750,.,.,.,.,530,.,.,.,.,.,.,.,1630,2610,1310,490,1760,.,.,.,.,730,1400,.,850,4460,2070,.,2180,.,.,.,.,.,.,2000,2000,910,.,.,.,.,1550,640,.,.,.,.,.,1090,.,.,610,910,1510,.,.,.,.,610,730,.,.,.,680,.,550,1400,.,590,1420,1950,910,.,.,950,1790,1560,1160,.,1000,930
1862,.,.,.,.,.,.,.,.,.,.,.,.,610,.,1500,710,.,2010,.,620,.,450,860,500,.,420,1330,970,1170,.,1140,.,1800,.,1190,1380,170,.,.,610,.,1760,1140,2510,.,1060,1180,.,1060,.,1180,.,.,.,.,.,.,.,.,.,.,1690,1530,.,.,.,.,680,.,.,.,.,.,.,.,1880,2850,1370,750,2070,.,.,.,.,940,1740,.,840,4460,2340,.,2550,.,.,.,.,.,.,2480,2510,840,.,.,.,.,1220,660,.,.,.,.,.,1060,.,.,870,1280,1650,.,.,.,.,450,780,.,.,.,1160,.,.,1370,.,910,1520,1680,990,.,.,1370,2450,2350,1230,.,1120,610
1861,.,.,.,.,.,.,.,.,.,.,.,.,1030,.,1420,760,.,2060,.,620,.,210,.,550,.,490,1440,900,1090,.,.,.,1760,.,780,1280,180,.,.,660,.,1560,990,1030,.,1040,1120,.,1020,.,1310,.,.,.,.,.,.,.,.,.,.,1770,1490,.,.,.,.,720,.,.,.,.,.,.,.,2030,2710,1070,.,1810,.,.,.,.,760,1580,.,870,4300,3290,.,.,.,.,.,.,.,.,2430,2080,1000,.,.,.,.,1240,660,.,.,.,.,.,1250,.,.,810,1100,1970,.,.,.,.,580,440,.,.,.,1220,.,.,1220,.,1010,1560,1660,1160,.,.,1370,3080,1930,1710,.,820,700
1860,.,.,.,.,.,.,.,.,.,.,.,.,490,.,1790,710,.,1500,.,880,.,400,.,400,.,260,1090,1030,1000,.,.,.,1290,.,680,960,280,.,.,1080,.,2000,1150,.,.,900,1380,.,1020,.,780,.,.,.,.,.,.,.,.,.,.,1570,1360,.,.,.,.,1690,.,.,.,.,.,.,.,1250,2660,1170,.,1970,.,.,.,.,1560,1860,.,1450,4240,2880,.,.,.,.,.,.,.,.,2210,2550,960,.,.,.,.,1910,880,.,.,.,.,.,1060,.,.,810,1110,1670,.,.,.,.,560,420,.,.,.,990,.,.,1220,.,950,1420,1320,1520,.,.,1600,2580,1950,1710,.,850,660
1859,.,.,.,.,.,.,.,.,.,.,.,.,860,.,1430,730,.,1530,.,1090,.,560,.,400,.,400,1100,1250,880,.,.,.,1490,.,850,900,320,.,.,1460,.,2000,930,.,.,770,1290,.,940,.,710,.,.,.,.,.,.,.,.,.,.,1840,1160,.,.,.,.,.,.,.,.,.,.,.,.,1180,2010,.,.,1580,.,.,.,.,1150,2050,.,1120,3550,.,.,.,.,.,.,.,.,.,2230,1860,780,.,.,.,.,1250,850,.,.,.,.,.,710,.,.,590,1410,1280,.,.,.,.,590,360,.,.,.,990,.,.,1200,.,810,1020,1220,1200,.,.,1260,2590,1620,940,.,690,620
1858,.,.,.,.,.,.,.,.,.,.,.,.,1570,.,1670,820,.,1970,.,1240,.,700,.,430,.,290,980,2120,1120,.,.,.,870,.,870,1220,540,.,.,1170,.,2480,1270,.,.,1170,1980,.,1000,.,860,.,.,.,.,.,.,.,.,.,.,.,1460,.,.,.,.,.,.,.,.,.,.,.,.,1180,2120,.,.,1580,.,.,.,.,1000,3940,.,1170,3890,.,.,.,.,.,.,.,.,.,2100,1750,1060,.,.,.,.,830,910,.,.,.,.,.,680,.,.,760,1650,1650,.,.,.,.,530,630,.,.,.,810,.,.,1630,.,1140,1460,1590,1340,.,.,1180,2480,1970,.,.,1070,960
1857,.,.,.,.,.,.,.,.,.,.,.,.,1380,.,1800,790,.,2090,.,1720,.,930,.,450,.,680,1160,2390,1210,.,.,.,1320,.,1250,1440,760,.,.,1030,.,2900,1570,.,.,1570,2690,.,1010,.,900,.,.,.,.,.,.,.,.,.,.,.,1980,.,.,.,.,.,.,.,.,.,.,.,.,1760,2760,.,.,2200,.,.,.,.,1360,4430,.,2080,4120,.,.,.,.,.,.,.,.,.,2780,2530,2130,.,.,.,.,1370,1070,.,.,.,.,.,850,.,.,1140,2200,2920,.,.,.,.,710,710,.,.,.,.,.,.,1770,.,1740,2280,2520,2120,.,.,1990,2590,2280,.,.,1350,1150
1856,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,1700,700,.,2420,.,950,.,.,.,380,.,410,670,2020,890,.,.,.,1280,.,1010,1340,740,.,.,890,.,2920,1550,.,.,1600,2920,.,1040,.,970,.,.,.,.,.,.,.,.,.,.,.,1580,.,.,.,.,.,.,.,.,.,.,.,.,1550,3020,.,.,2100,.,.,.,.,1430,3570,.,2060,4600,.,.,.,.,.,.,.,.,.,2660,3490,2130,.,.,.,.,1360,1200,.,.,.,.,.,1170,.,.,1450,1990,2470,.,.,.,.,770,730,.,.,.,.,.,.,1850,.,1470,2140,2570,1910,.,.,1970,3350,3030,.,.,1510,1000
1855,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2270,840,.,2650,.,790,.,.,.,510,.,460,720,2060,1060,.,.,.,1390,.,1070,1170,710,.,.,960,.,3040,1640,.,.,1380,2850,.,1050,.,1080,.,.,.,.,.,.,.,.,.,.,.,2020,.,.,.,.,.,.,.,.,.,.,.,.,1810,3590,.,.,2090,.,.,.,.,1730,6270,.,2120,5110,.,.,.,.,.,.,.,.,.,3520,2870,3020,.,.,.,.,.,1340,.,.,.,.,.,1020,.,.,1330,2880,2870,.,.,.,.,830,720,.,.,.,.,.,.,1850,.,1990,2610,3510,2210,.,.,2210,3010,3400,.,.,1630,1280
1854,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2040,810,.,1840,.,680,.,.,.,440,.,410,600,1570,480,.,.,.,830,.,690,1040,550,.,.,1030,.,1900,1400,.,.,1220,1860,.,840,.,1540,.,.,.,.,.,.,.,.,.,.,.,2720,.,.,.,.,.,.,.,.,.,.,.,.,1790,5630,.,.,2070,.,.,.,.,1170,.,.,2040,4360,.,.,.,.,.,.,.,.,.,3390,3310,1910,.,.,.,.,.,1300,.,.,.,.,.,1010,.,.,1090,2360,1560,.,.,.,.,850,700,.,.,.,.,.,.,2110,.,1520,1620,3220,1910,.,.,2050,3140,3600,.,.,1420,1160
1853,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1490,620,.,1680,.,580,.,.,.,500,.,240,650,1160,500,.,.,.,780,.,530,1000,560,.,.,1180,.,1770,1260,.,.,1150,1690,.,970,.,770,.,.,.,.,.,.,.,.,.,.,.,2390,.,.,.,.,.,.,.,.,.,.,.,.,1650,6460,.,.,1620,.,.,.,.,990,.,.,1860,3020,.,.,.,.,.,.,.,.,.,2560,3720,1640,.,.,.,.,.,1000,.,.,.,.,.,760,.,.,1180,2070,1730,.,.,.,.,690,610,.,.,.,.,.,.,.,.,950,1650,2720,2120,.,.,2130,2730,2990,.,.,1250,1200
1852,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1590,630,.,2510,.,750,.,.,.,560,.,290,910,1360,660,.,.,.,1320,.,1020,1100,720,.,.,1160,.,2310,1790,.,.,1230,2130,.,1010,.,530,.,.,.,.,.,.,.,.,.,.,.,2680,.,.,.,.,.,.,.,.,.,.,.,.,1630,4580,.,.,2050,.,.,.,.,1200,.,.,2000,2220,.,.,.,.,.,.,.,.,.,2530,3260,1900,.,.,.,.,.,1030,.,.,.,.,.,520,.,.,1250,1990,1710,.,.,.,.,880,610,.,.,.,.,.,.,.,.,1120,1840,2200,2550,.,.,2470,.,3030,.,.,1160,1330
1851,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1680,540,.,2260,.,910,.,.,.,550,.,510,1090,1620,900,.,.,.,1440,.,1180,1050,750,.,.,1110,.,2330,1560,.,.,1020,2240,.,1240,.,530,.,.,.,.,.,.,.,.,.,.,.,2450,.,.,.,.,.,.,.,.,.,.,.,.,1990,.,.,.,1950,.,.,.,.,1540,.,.,2690,2100,.,.,.,.,.,.,.,.,.,2980,3250,1770,.,.,.,.,.,1060,.,.,.,.,.,690,.,.,1220,2220,2070,.,.,.,.,1240,760,.,.,.,.,.,.,.,.,970,1990,2120,2740,.,.,2670,.,3510,.,.,1840,1610
1850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1590,580,.,2230,.,1210,.,.,.,540,.,520,1130,1850,970,.,.,.,1220,.,930,960,1450,.,.,870,.,2070,1770,.,.,1990,2210,.,1260,.,900,.,.,.,.,.,.,.,.,.,.,.,2190,.,.,.,.,.,.,.,.,.,.,.,.,1670,.,.,.,1750,.,.,.,.,1770,.,.,2900,2160,.,.,.,.,.,.,.,.,.,2990,2960,1510,.,.,.,.,.,1180,.,.,.,.,.,560,.,.,1280,2570,2090,.,.,.,.,1170,590,.,.,.,.,.,.,.,.,1020,1900,2780,2420,.,.,2390,.,3520,.,.,1860,1640
1849,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1640,620,.,2230,.,1340,.,.,.,550,.,730,1010,2410,1000,.,.,.,1190,.,1040,1090,1010,.,.,530,.,2290,2210,.,.,1860,2370,.,1300,.,740,.,.,.,.,.,.,.,.,.,.,.,2380,.,.,.,.,.,.,.,.,.,.,.,.,2280,.,.,.,1890,.,.,.,.,1910,.,.,3160,2440,.,.,.,.,.,.,.,.,.,2380,3230,1720,.,.,.,.,.,1160,.,.,.,.,.,1040,.,.,1070,2220,1740,.,.,.,.,1010,810,.,.,.,.,.,.,.,.,1000,1680,2960,2580,.,.,2520,.,.,.,.,1800,1680
1848,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1510,790,.,2750,.,1070,.,.,.,710,.,780,1030,2750,1050,.,.,.,1180,.,880,1250,540,.,.,600,.,2400,2560,.,.,1810,2720,.,1340,.,760,.,.,.,.,.,.,.,.,.,.,.,2330,.,.,.,.,.,.,.,.,.,.,.,.,2010,.,.,.,1850,.,.,.,.,1780,.,.,2300,2140,.,.,.,.,.,.,.,.,.,2040,.,2170,.,.,.,.,.,1270,.,.,.,.,.,.,.,.,990,2090,1900,.,.,.,.,840,800,.,.,.,.,.,.,.,.,1240,1620,3520,1960,.,.,1800,.,.,.,.,1660,1760
1847,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1370,840,.,2360,.,970,.,.,.,620,.,490,860,3050,1130,.,.,.,1320,.,700,1150,670,.,.,630,.,2370,1690,.,.,1820,1980,.,1350,.,.,.,.,.,.,.,.,.,.,.,.,.,1850,.,.,.,.,.,.,.,.,.,.,.,.,1460,.,.,.,1820,.,.,.,.,1350,.,.,2010,2430,.,.,.,.,.,.,.,.,.,2050,.,1810,.,.,.,.,.,1050,.,.,.,.,.,.,.,.,840,2100,1270,.,.,.,.,700,820,.,.,.,.,.,.,.,.,1160,1000,3170,2020,.,.,1830,.,.,.,.,1690,1750
1846,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1240,870,.,2510,.,640,.,.,.,890,.,560,780,2140,1110,.,.,.,1070,.,690,1210,890,.,.,590,.,2350,1820,.,.,2140,1840,.,1730,.,.,.,.,.,.,.,.,.,.,.,.,.,1990,.,.,.,.,.,.,.,.,.,.,.,.,1980,.,.,.,2160,.,.,.,.,1380,.,.,2960,.,.,.,.,.,.,.,.,.,.,2750,.,1810,.,.,.,.,.,1240,.,.,.,.,.,.,.,.,1080,2800,1610,.,.,.,.,750,1000,.,.,.,.,.,.,.,.,1180,1510,2510,2600,.,.,2600,.,.,.,.,1630,1760
1845,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1060,590,.,2080,.,330,.,.,.,600,.,410,730,1750,830,.,.,.,830,.,620,980,.,.,.,660,.,1970,1600,.,.,1830,1630,.,1360,.,.,.,.,.,.,.,.,.,.,.,.,.,1520,.,.,.,.,.,.,.,.,.,.,.,.,1690,.,.,.,1370,.,.,.,.,850,.,.,2530,.,.,.,.,.,.,.,.,.,.,2690,.,2010,.,.,.,.,.,1130,.,.,.,.,.,.,.,.,960,2080,1660,.,.,.,.,710,970,.,.,.,.,.,.,.,.,890,1410,2350,2680,.,.,2500,.,.,.,.,1500,1540
1844,.,.,.,.,.,.,.,.,.,.,.,.,.,.,840,850,.,1970,.,490,.,.,.,570,.,270,680,700,960,.,.,.,760,.,600,1220,.,.,.,700,.,2480,1430,.,.,1630,2280,.,1250,.,.,.,.,.,.,.,.,.,.,.,.,.,1770,.,.,.,.,.,.,.,.,.,.,.,.,2000,.,.,.,1190,.,.,.,.,1270,.,.,2270,.,.,.,.,.,.,.,.,.,.,2620,.,1890,.,.,.,.,.,1340,.,.,.,.,.,.,.,.,1040,2200,1950,.,.,.,.,800,770,.,.,.,.,.,.,.,.,1050,1800,2290,3050,.,.,2430,.,.,.,.,1690,2270
1843,.,.,.,.,.,.,.,.,.,.,.,.,.,.,710,700,.,2360,.,470,.,.,.,720,.,760,860,1350,1030,.,.,.,840,.,800,1130,.,.,.,810,.,2220,1320,.,.,1720,2180,.,1460,.,.,.,.,.,.,.,.,.,.,.,.,.,1640,.,.,.,.,.,.,.,.,.,.,.,.,1400,.,.,.,1290,.,.,.,.,850,.,.,3010,.,.,.,.,.,.,.,.,.,.,1830,.,2010,.,.,.,.,.,1420,.,.,.,.,.,.,.,.,1010,2330,1490,.,.,.,.,540,590,.,.,.,.,.,.,.,.,890,1430,.,2510,.,.,2590,.,.,.,.,1820,2410
1842,.,.,.,.,.,.,.,.,.,.,.,.,.,.,640,820,.,2430,.,640,.,.,.,570,.,570,770,1670,1240,.,.,.,900,.,760,1210,.,.,.,760,.,2460,1640,.,.,1900,2850,.,1470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1810,.,.,.,1730,.,.,.,.,980,.,.,3240,.,.,.,.,.,.,.,.,.,.,1970,.,1970,.,.,.,.,.,1490,.,.,.,.,.,.,.,.,1450,2510,1490,.,.,.,.,850,630,.,.,.,.,.,.,.,.,830,1560,.,2560,.,.,2620,.,.,.,.,1690,1870
1841,.,.,.,.,.,.,.,.,.,.,.,.,.,.,590,880,.,.,.,390,.,.,.,630,.,880,.,1890,1030,.,.,.,910,.,820,1460,.,.,.,690,.,2560,1540,.,.,1630,2370,.,1330,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2490,.,.,.,1930,.,.,.,.,950,.,.,.,.,.,.,.,.,.,.,.,.,.,2820,.,2260,.,.,.,.,.,1350,.,.,.,.,.,.,.,.,1220,2390,1340,.,.,.,.,920,580,.,.,.,.,.,.,.,.,1130,1600,.,2560,.,.,2350,.,.,.,.,1760,1640
1840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,660,950,.,.,.,440,.,.,.,.,.,1080,.,2280,1240,.,.,.,720,.,790,1570,.,.,.,740,.,1710,1610,.,.,1970,1980,.,1500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2180,.,.,.,1650,.,.,.,.,650,.,.,.,.,.,.,.,.,.,.,.,.,.,2120,.,2540,.,.,.,.,.,1300,.,.,.,.,.,.,.,.,1210,2330,1320,.,.,.,.,760,450,.,.,.,.,.,.,.,.,1010,1520,.,2370,.,.,2160,.,.,.,.,1750,1130
1839,.,.,.,.,.,.,.,.,.,.,.,.,.,.,520,650,.,.,.,400,.,.,.,.,.,.,.,1390,1040,.,.,.,770,.,610,1270,.,.,.,460,.,1770,1040,.,.,1520,1480,.,1160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1660,.,.,.,.,.,.,.,.,990,.,.,.,.,.,.,.,.,.,.,.,.,.,2140,.,1810,.,.,.,.,.,1080,.,.,.,.,.,.,.,.,930,1220,1110,.,.,.,.,620,180,.,.,.,.,.,.,.,.,730,1140,.,1960,.,.,1830,.,.,.,.,1570,1210
1838,.,.,.,.,.,.,.,.,.,.,.,.,.,.,700,840,.,.,.,450,.,.,.,.,.,.,.,1640,950,.,.,.,530,.,460,1120,.,.,.,520,.,1480,910,.,.,1440,1390,.,930,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1730,.,.,.,.,.,.,.,.,840,.,.,.,.,.,.,.,.,.,.,.,.,.,2310,.,1200,.,.,.,.,.,900,.,.,.,.,.,.,.,.,790,840,1100,.,.,.,.,600,240,.,.,.,.,.,.,.,.,850,1100,.,1700,.,.,1560,.,.,.,.,1330,880
1837,.,.,.,.,.,.,.,.,.,.,.,.,.,.,540,860,.,.,.,850,.,.,.,.,.,.,.,1590,950,.,.,.,580,.,490,1200,.,.,.,510,.,1680,1130,.,.,1520,1390,.,1020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1090,.,.,.,.,.,.,.,.,910,.,.,.,.,.,.,.,.,.,.,.,.,.,1820,.,1320,.,.,.,.,.,930,.,.,.,.,.,.,.,.,800,760,1010,.,.,.,.,590,270,.,.,.,.,.,.,.,.,630,950,.,1520,.,.,1430,.,.,.,.,1180,920
1836,.,.,.,.,.,.,.,.,.,.,.,.,.,.,560,1040,.,.,.,980,.,.,.,.,.,.,.,2240,1880,.,.,.,630,.,480,1080,.,.,.,980,.,1640,1360,.,.,1970,1780,.,1670,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1220,.,.,.,.,.,.,.,.,1290,.,.,.,.,.,.,.,.,.,.,.,.,.,2180,.,1550,.,.,.,.,.,1200,.,.,.,.,.,.,.,.,1170,880,1190,.,.,.,.,1020,380,.,.,.,.,.,.,.,.,860,1320,.,2320,.,.,2230,.,.,.,.,1860,1000
1835,.,.,.,.,.,.,.,.,.,.,.,.,.,.,730,1460,.,.,.,770,.,.,.,.,.,.,.,1680,1240,.,.,.,650,.,560,1000,.,.,.,1450,.,1540,1170,.,.,2270,1560,.,1930,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1730,.,1760,.,.,.,.,.,1580,.,.,.,.,.,.,.,.,1240,780,1430,.,.,.,.,890,280,.,.,.,.,.,.,.,.,1040,1950,.,2180,.,.,2370,.,.,.,.,2110,1350
1834,.,.,.,.,.,.,.,.,.,.,.,.,.,.,640,1480,.,.,.,630,.,.,.,.,.,.,.,1620,.,.,.,.,450,.,520,920,.,.,.,1320,.,1560,1150,.,.,1880,1420,.,1400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2590,.,1280,.,.,.,.,.,1460,.,.,.,.,.,.,.,.,1180,560,1540,.,.,.,.,950,430,.,.,.,.,.,.,.,.,1110,1660,.,1790,.,.,1610,.,.,.,.,1650,1470
1833,.,.,.,.,.,.,.,.,.,.,.,.,.,.,720,1120,.,.,.,1320,.,.,.,.,.,.,.,1730,.,.,.,.,490,.,560,1050,.,.,.,.,.,1220,1350,.,.,1590,950,.,1700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2800,.,1370,.,.,.,.,.,1140,.,.,.,.,.,.,.,.,1260,2700,1940,.,.,.,.,910,1200,.,.,.,.,.,.,.,.,1500,2020,.,1760,.,.,1350,.,.,.,.,1600,1830
1832,.,.,.,.,.,.,.,.,.,.,.,.,.,.,840,450,.,.,.,880,.,.,.,.,.,.,.,1400,.,.,.,.,500,.,790,600,.,.,.,.,.,1300,930,.,.,1750,830,.,1100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2430,.,920,.,.,.,.,.,1250,.,.,.,.,.,.,.,.,1510,1980,1550,.,.,.,.,700,1290,.,.,.,.,.,.,.,.,1400,1550,.,1520,.,.,1280,.,.,.,.,1630,1060
1831,.,.,.,.,.,.,.,.,.,.,.,.,.,.,910,360,.,.,.,1020,.,.,.,.,.,.,.,910,.,.,.,.,500,.,560,680,.,.,.,.,.,1390,910,.,.,1490,1050,.,1420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2770,.,960,.,.,.,.,.,1420,.,.,.,.,.,.,.,.,1430,2400,1530,.,.,.,.,860,1140,.,.,.,.,.,.,.,.,1350,1250,.,1620,.,.,1680,.,.,.,.,1740,1250
1830,.,.,.,.,.,.,.,.,.,.,.,.,.,.,940,890,.,.,.,740,.,.,.,.,.,.,.,700,.,.,.,.,600,.,620,590,.,.,.,.,.,1630,830,.,.,1510,900,.,1200,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2650,.,1010,.,.,.,.,.,1280,.,.,.,.,.,.,.,.,1880,2820,1580,.,.,.,.,1080,1260,.,.,.,.,.,.,.,.,1200,1500,.,2680,.,.,2440,.,.,.,.,2030,1470
1829,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1290,.,.,.,.,940,.,.,.,.,.,.,.,1680,.,.,.,.,710,.,910,620,.,.,.,.,.,1400,850,.,.,1710,1030,.,840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2230,.,1070,.,.,.,.,.,1670,.,.,.,.,.,.,.,.,1900,.,1540,.,.,.,.,1200,.,.,.,.,.,.,.,.,.,1510,1490,.,2400,.,.,2180,.,.,.,.,1960,1470
