"","years","Tag","Ring_width(mm)"
"900",1875,"JB118316",NA
"901",1875,"JB118317",NA
"902",1875,"JB118318",NA
"903",1875,"JB118320",NA
"904",1875,"JB118322",NA
"905",1875,"JB118323",0.454
"906",1875,"JB118324",NA
"907",1875,"JB118326",NA
"908",1875,"JB118327",NA
"909",1875,"JB118332",NA
"910",1875,"JB118336",NA
"911",1875,"JB130804",NA
"912",1875,"JB130807",NA
"913",1875,"JB130808",NA
"914",1875,"JB130810",NA
"915",1875,"JB130813",NA
"916",1875,"JB130814",NA
"917",1875,"JB130815",NA
"918",1875,"JB130816",NA
"919",1875,"JB130817",NA
"920",1875,"JB130819",NA
"921",1875,"JB130821",NA
"922",1875,"JB130827",NA
"923",1875,"MC195302",NA
"924",1875,"MC195303",NA
