Year,Mountain Range,JB118309,JB118312,JB118313,JB118316,JB118317,JB118318,JB118320,JB118322,JB118323,JB118324,JB118326,JB118327,JB118332,JB118336,JB130804,JB130807,JB130808,JB130810,JB130813,JB130814,JB130815,JB130816,JB130817,JB130819,JB130821,JB130827,MC195302,MC195303,MC195304,MC195306,MC195307,MC195313,MC195314,MC195318,MC195319,MC195325,MC195329,MC216001,MC216002,MC216003,MC216004,MC216005,MC216010,MC216012,MC216014,MC216018,MC216020,MC216022,MC216026,MC216027,MC216029,MC216030,MC216039,MC231201,MC231203,MC231204,MC231205,MC231206,MC231207,MC231209,MC231211,MC231212,MC231213,MC231216,MC231217,MC231219,MC231221,MC231225,MC231226,MC231227,MC231232,MC231234,MC255807,MC255808,MC255809,MC255811,MC255814,MC255815,MC255817,MC255824,MC255825,MC255826,MC255827,MC255828,MC255830,MC255831,MC255833,MC300001,MC300017,MC300018,MC300022,MC300023,MC300024,MC300026,MC300027,MC300028,MC300032,MC300033,MC302801,MC302803,MC302807,MC302810,MC302813,MC302819,MC302820,MC302825,MC302827,MC302829,MC302831,MC302833,MC302834,MC302835
1972,Jarbidge,0.977,0.564,0.354,0.475,0.369,0.634,0.795,0.58,0.365,0.393,0.423,0.686,0.525,0.678,NA,NA,NA,2.646,NA,NA,2.729,NA,NA,NA,NA,0.771,1.921,2.154,1.151,1.613,1.052,1.265,1.058,2.863,2.281,1.224,1.598,1.759,0.82,NA,NA,1.459,NA,1.74,0.734,0.513,0.835,0.216,NA,1.666,NA,NA,0.598,0.29,0.21,1.069,1.686,0.552,0.707,0.863,0.553,1.2,0.437,1.101,0.424,2.06,1.812,NA,0.235,1.132,NA,0.869,1.08,1.031,1.166,2.751,1.734,0.921,0.651,0.699,2.57,1.567,0.94,2.292,3.212,1.823,1.832,NA,NA,NA,NA,NA,NA,0.884,NA,NA,1.537,NA,NA,NA,NA,0.777,1.751,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,Jarbidge,1.898,0.389,0.28,0.05,0.443,0.425,0.48,0.503,0.241,0.326,0.152,0.396,0.59,0.672,NA,NA,NA,2.181,NA,NA,1.579,NA,NA,NA,NA,0.924,1.922,2.504,1.457,1.433,1.469,1.612,1.113,2.68,3.027,1.665,2.083,1.119,0.558,NA,NA,0.884,NA,2.305,1.111,0.574,0.468,0.376,NA,0.87,NA,NA,0.371,0.471,0.352,1.496,1.883,0.736,1.513,1.062,0.761,1.645,0.588,1.723,0.659,2.507,1.723,NA,0.259,1.541,NA,0.832,1.397,1.475,1.691,3.091,3.191,0.801,0.887,1.115,3.096,1.288,1.469,1.769,2.789,2.311,2.45,NA,NA,NA,NA,NA,NA,1.801,NA,NA,1.843,NA,NA,NA,NA,0.714,2.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,Jarbidge,1.056,0.673,0.732,0.629,0.644,0.713,0.723,0.887,0.565,0.64,0.998,0.948,1.039,0.836,NA,NA,NA,2.803,NA,NA,1.938,NA,NA,NA,NA,0.859,2.061,2.267,1.089,1.027,1.348,1.337,0.957,2.228,2.54,1.165,2.207,1.54,0.714,NA,NA,0.989,NA,2.091,0.685,0.583,0.598,0.401,NA,1.164,NA,0.856,1.149,0.811,0.535,1.479,1.343,1.076,1.663,1.136,0.719,1.096,0.502,1.514,0.823,1.765,1.029,NA,0.34,1.352,NA,1.107,1.506,1.257,1.39,2.572,3.078,1.212,1.04,1.504,2.649,1.317,1.588,2.251,2.933,2.693,1.954,NA,NA,NA,NA,NA,NA,3.213,NA,NA,1.563,NA,NA,NA,NA,1.833,1.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,Jarbidge,1.147,0.688,0.583,0.535,0.672,0.691,0.711,0.535,0.57,0.308,0.901,0.77,1.029,0.767,NA,NA,NA,2.978,NA,NA,1.408,NA,NA,0.755,NA,1.164,1.616,1.811,0.867,1.274,1.01,1.425,0.833,1.925,2.891,1.253,1.807,1.493,0.62,NA,NA,1.342,1.092,2.185,0.829,0.495,0.959,0.426,NA,0.933,NA,1.486,1.442,0.896,0.476,1.701,0.469,1.169,1.01,0.911,0.795,1.006,0.627,1.329,0.833,1.931,1.12,NA,0.63,1.131,NA,1.891,1.456,1.675,1.39,2.359,3.712,1.687,1.322,1.449,2.382,2.349,1.578,3.93,3.563,1.851,2.645,NA,NA,NA,NA,1.859,NA,2.759,NA,1.546,3.041,NA,NA,NA,NA,1.749,1.546,NA,NA,NA,NA,NA,1.133,0.752,NA,NA
1976,Jarbidge,0.698,0.555,0.341,0.234,0.559,0.463,0.371,0.392,0.31,0.324,0.358,0.388,0.492,0.278,NA,NA,NA,1.999,NA,1.3,0.771,1.298,NA,0.805,NA,0.802,1.301,1.554,0.805,1.116,0.907,1.524,0.601,2.604,3.104,1.52,1.953,1.375,0.731,NA,NA,1.269,0.951,1.729,0.978,0.578,0.702,0.515,NA,1.33,NA,1.564,1.279,0.899,0.524,0.997,0.989,0.974,1.495,0.862,0.564,1.604,0.326,1.125,1.252,1.899,1.073,NA,0.64,1.105,NA,1.847,1.47,1.031,1.037,1.577,2.621,1.393,1.046,1.32,2.406,1.934,1.383,2.726,2.735,1.676,2.544,NA,NA,NA,2.599,1.913,NA,2.885,NA,2.371,2.238,NA,NA,NA,NA,0.915,1.764,NA,NA,NA,NA,NA,1.143,0.867,NA,NA
1977,Jarbidge,0.926,0.435,0.202,0.34,0.388,0.452,0.275,0.299,0.275,0.26,0.35,0.231,0.382,0.34,NA,NA,0.676,2.568,NA,0.958,1.347,1.199,NA,0.854,NA,0.817,1.209,1.496,0.788,1.126,0.66,1.525,0.673,1.98,3.156,1.531,2.037,1.244,1.427,NA,NA,0.984,0.923,1.386,0.908,0.455,0.516,1.044,2.694,1.276,NA,1.474,1.043,1.076,0.49,1.076,1.163,1.046,1.116,0.905,0.687,1.341,0.441,1.225,0.965,1.785,1.441,NA,1.017,1.313,NA,2.092,1.332,1.074,1.039,2.696,1.894,1.142,1.368,1.243,3.303,1.413,1.326,2.307,2.114,1.52,2.125,0.905,NA,NA,1.854,1.992,1.415,2.312,NA,1.369,1.457,NA,NA,NA,NA,3.976,1.416,NA,NA,NA,NA,NA,1.277,0.847,NA,NA
1978,Jarbidge,0.689,0.37,0.568,0.986,0.537,0.478,0.707,0.208,0.3,0.287,0.46,0.463,0.393,0.622,2.572,NA,0.861,2.642,NA,0.993,1.832,0.865,NA,0.959,NA,1.14,0.841,1.204,0.741,0.71,0.531,1.133,0.686,1.732,2.623,1.416,1.815,0.558,0.675,NA,NA,0.612,0.839,1.117,0.405,0.336,0.455,0.477,1.469,1.013,NA,2.074,1.021,0.775,0.54,1.078,0.963,0.519,1.083,0.648,0.634,1.357,0.24,1.128,0.788,1.431,0.788,NA,1.024,0.956,NA,1.997,1.123,0.701,0.507,2.137,1.335,0.695,0.494,0.456,1.991,0.979,0.85,0.916,2.263,0.763,1.406,1.898,NA,3.093,1.446,1.625,0.857,3.079,1.051,3.314,1.998,NA,NA,NA,NA,1.845,1.328,NA,NA,NA,NA,NA,1.966,1.992,NA,NA
1979,Jarbidge,1.06,0.42,0.793,1.023,0.449,0.667,1.395,0.451,0.567,0.519,0.597,0.72,0.792,0.731,2.17,NA,1.069,2.671,1.523,1.301,1.526,0.961,NA,0.925,NA,1.038,1.719,2.009,1.39,1.13,0.939,1.274,1.123,2.157,3.137,2.179,2.595,1.444,1.031,NA,0.921,1.305,1.166,1.203,0.758,0.724,0.681,0.435,1.275,1.121,NA,1.23,1.251,0.904,0.48,1.335,1.449,0.702,2.006,0.844,1.21,0.945,0.361,1.416,0.733,1.528,1.6,NA,0.946,1.1,NA,2.306,1.321,1.152,0.99,2.521,1.989,1.015,1.054,1.109,2.917,1.988,1.306,1.894,2.65,0.718,1.839,1.295,NA,0.742,1.481,1.906,1.604,3.287,1.112,2.764,2.049,NA,NA,NA,NA,1.218,1.142,NA,NA,NA,2.233,NA,1.428,2.763,NA,NA
1980,Jarbidge,0.954,0.722,0.988,1.575,0.801,0.841,1.142,0.517,0.575,0.613,0.779,0.979,0.831,0.828,2.234,NA,0.878,2.477,1.93,1.414,1.552,1.134,2.389,1.321,NA,1.087,1.374,1.794,1.073,1.252,0.982,1.34,0.614,2.225,2.882,1.237,2.072,1.191,1.048,NA,0.582,1.071,1.472,1.266,0.945,0.885,0.714,0.6,0.832,1.367,NA,0.872,1.285,0.998,0.501,1.261,1.686,0.839,1.446,0.947,1.082,1.464,0.352,1.055,0.547,1.488,0.845,1.579,1.129,1.252,NA,1.989,1.218,0.656,0.77,1.939,1.753,1.059,0.747,0.908,2.472,1.674,1.35,1.623,2.036,1.04,1.547,0.988,NA,0.737,0.567,0.972,1.8,2.298,2.155,1.611,0.665,NA,NA,1.048,NA,1.323,1.441,NA,NA,1.342,2.048,NA,2.22,1.977,NA,NA
1981,Jarbidge,0.596,0.376,0.472,0.613,0.442,0.532,0.73,0.495,0.25,0.275,0.385,0.267,0.466,0.254,1.272,NA,1.147,2.049,1.27,0.862,1.55,0.966,0.89,0.924,1.685,1.11,0.846,1.451,0.843,1.006,1.029,1.272,0.558,2.35,3.023,1.532,2.318,0.557,1.126,NA,0.337,0.923,1.056,0.735,0.474,0.87,0.423,0.298,0.871,0.727,NA,0.597,1.382,1.02,0.678,1.384,1.246,0.438,1.281,0.849,0.74,1,0.52,1.013,0.737,1.384,0.864,1.686,1.273,1.114,NA,1.519,0.927,0.584,0.579,1.17,1.694,1.268,0.391,0.468,2.323,1.338,0.872,1.112,2.429,0.614,1.174,1.455,NA,0.822,0.533,0.873,0.889,0.859,0.869,0.447,0.813,NA,2.356,1.14,NA,1.172,0.864,NA,NA,1.816,2.706,NA,1.568,1.785,NA,NA
1982,Jarbidge,0.811,0.469,0.975,0.861,0.667,0.581,0.939,0.641,0.457,0.662,0.731,0.841,0.614,0.772,2.501,1.396,1.375,2.487,1.266,1.47,1.071,1.529,1.293,1.409,1.647,1.09,0.886,1.14,0.676,0.703,0.831,1.106,0.365,2.225,3.025,2.54,2.268,1.464,0.94,NA,0.861,1.239,1.331,0.771,0.716,0.679,0.561,1.022,0.583,1.445,NA,1.117,1.437,1.096,0.721,1.355,0.852,0.445,1.178,0.734,0.725,1.024,0.474,1.11,0.519,1.54,0.845,0.817,1.226,1.302,NA,2.444,0.979,0.529,0.412,1.396,2.217,1.263,0.407,0.653,2.691,1.207,0.694,0.638,2.51,0.6,0.706,0.572,NA,0.641,0.372,0.814,0.557,0.995,0.412,1.635,1.108,NA,1.318,0.38,NA,0.775,0.399,NA,NA,1.151,2.076,1.006,2.081,1.82,NA,NA
1983,Jarbidge,1.178,0.564,1.038,1.011,0.593,0.554,1.125,0.289,0.443,0.514,0.762,1.124,0.457,0.811,2.492,1.882,1.624,1.905,1.069,2.026,1.103,1.527,2.549,0.981,2.095,0.924,1.497,1.88,0.867,1.088,1.549,1.276,0.808,2.943,3.063,2.433,3.057,2.494,0.532,NA,1.322,1.402,1.359,0.6,0.493,0.46,0.555,0.509,0.594,1.728,NA,0.962,1.876,1.208,1.056,1.515,1.307,1.083,1.778,0.597,0.868,1.354,0.647,1.466,0.892,1.738,1.318,0.674,1.689,1.119,NA,2.794,1.091,0.962,0.527,2.197,2.883,1.701,1.071,1.231,3.707,1.766,1.025,1.601,4.1,1.243,1.284,0.759,1.672,1.299,1.079,1.288,0.66,2.305,1.467,2.464,1.363,NA,1.29,1.218,NA,0.595,0.681,NA,NA,1.968,2.677,1.123,1.422,3.791,NA,NA
1984,Jarbidge,2.586,0.867,1.149,1.356,0.88,1.125,1.31,0.758,0.736,0.803,1.349,0.932,0.998,1.298,2.248,1.974,1.614,1.826,0.301,2.036,1.034,2.721,2.157,0.858,1.849,0.914,1.083,1.607,0.715,1.111,0.909,0.991,0.544,1.484,2.539,3.006,1.927,2.774,0.775,NA,2.742,2.653,1.816,0.856,0.721,0.554,1.861,0.617,0.318,3.731,NA,1.693,1.487,0.937,0.797,1.66,0.87,0.559,1.58,0.656,0.585,1.103,0.465,1.356,0.924,1.679,1.082,0.737,1.616,1.622,NA,3.394,1.09,1.152,0.714,2.334,3.29,1.774,1.098,1.155,3.682,1.968,1.426,2.966,3.178,2.007,1.815,0.509,0.246,1.028,0.511,0.563,0.302,2.45,0.312,0.621,1.589,NA,1.589,1.858,NA,0.661,1.504,NA,NA,1.988,2.492,1.042,1.884,1.898,NA,NA
1985,Jarbidge,0.725,0.436,0.615,1.292,0.345,0.779,0.916,0.505,0.335,0.426,0.355,0.286,0.413,0.464,1.35,0.847,1.302,1.312,0.375,1.742,0.786,1.344,1.715,0.27,1.242,0.592,0.84,1.299,0.816,0.66,0.616,0.628,0.278,1.606,2.432,1.32,1.515,2.143,0.334,NA,2.615,0.495,0.805,0.904,0.337,0.721,0.705,0.645,0.287,1.791,NA,1.185,0.697,0.67,0.301,1.437,1.332,0.296,0.918,0.485,0.573,0.931,0.197,0.798,0.51,0.764,0.541,1.301,0.885,1.102,NA,2.757,0.888,0.823,0.913,1.686,2.104,1.43,0.555,0.964,3.064,1.444,1.309,1.869,2.016,1.239,1.531,1.052,0.24,1.858,0.645,1.709,0.917,1.344,0.495,1.551,2.019,NA,2.219,1.798,0.82,1.252,3.197,NA,NA,2.801,2.121,1.135,3.949,2.709,NA,NA
1986,Jarbidge,0.98,0.685,0.983,1.467,0.627,0.778,0.962,0.541,0.444,0.439,0.607,0.304,0.72,0.762,1.282,1.469,1.111,1.55,0.673,1.79,1.183,1.532,1.739,0.69,1.361,0.629,1.717,1.829,0.902,0.941,0.913,1.219,0.348,1.949,3.71,2.326,2.353,1.53,0.529,2.39,3.059,0.695,1.304,0.982,0.739,0.709,0.633,0.345,0.206,2.081,NA,0.969,1.358,0.755,0.777,1.585,1.911,0.83,1.072,0.421,1.175,1.386,0.521,1.298,0.817,1.146,1.27,1.347,2.029,1.696,NA,2.495,0.988,0.864,0.413,1.402,1.921,1.141,0.75,0.697,3.411,1.022,0.851,1.736,2.27,0.825,1.285,1.453,0.669,1.582,0.861,1.212,0.901,1.214,1.078,1.049,1.148,NA,2.013,2.057,0.423,1.115,3.299,NA,0.514,1.512,1.877,2.344,3.875,2.883,1.311,NA
1987,Jarbidge,0.56,0.365,0.464,0.596,0.365,0.389,0.549,0.32,0.199,0.109,0.298,0.146,0.457,0.27,0.614,0.842,0.594,1.194,0.344,0.515,1.178,0.73,0.77,0.279,0.743,0.934,1.78,1.644,1.158,1.059,0.836,1.467,0.49,2.227,3.268,1.676,2.459,2.06,0.683,1.619,2.105,0.672,1.188,0.789,0.692,0.764,0.445,0.489,0.467,1.551,NA,0.791,1.99,0.888,0.689,1.277,1.444,0.34,1.225,0.22,1.056,1.297,0.388,0.942,0.679,1.382,1.128,1.018,1.732,1.417,0.775,2.313,1.319,1.122,0.63,1.684,2.015,1.358,1.164,1.128,2.715,1.442,1.118,2.442,1.809,1.133,1.843,1.598,0.661,3.067,0.729,1.083,0.849,1.886,0.084,0.589,1.45,NA,1.625,1.298,1.25,0.775,2.083,NA,0.94,1.788,1.232,1.358,1.976,1.902,1.16,NA
1988,Jarbidge,0.723,0.42,0.994,1.168,0.528,0.467,0.682,0.421,0.213,0.131,0.277,0.171,0.348,0.405,1.776,1.888,1.209,0.871,1.13,1.478,0.781,1.399,2.268,1.032,1.595,0.835,1.271,1.215,0.837,0.554,0.452,0.46,0.301,0.729,1.548,0.728,0.786,0.938,0.646,1.209,1.365,0.271,0.788,0.818,0.459,0.644,0.548,0.77,0.975,0.966,NA,0.81,1.376,0.732,0.832,1.474,1.34,0.413,1.079,0.457,1.096,1.053,0.479,0.838,0.756,1.281,1.106,1.615,1.093,1.53,1.699,2.1,0.581,0.335,0.266,0.572,0.883,0.258,0.33,0.523,1.471,1.201,0.6,0.753,0.471,0.463,0.425,2.561,0.832,1.206,0.549,1.131,0.713,1.305,0.921,0.629,0.922,NA,2.222,1.135,0.794,0.918,2.378,NA,1.135,0.911,2.151,1.99,1.088,2.684,1.285,NA
1989,Jarbidge,0.622,0.438,1.007,1.263,0.625,0.442,0.679,0.717,0.476,0.255,0.563,0.403,0.58,0.589,1.911,1.461,0.978,0.968,1.153,1.533,0.814,1.741,2.357,0.885,1.352,0.635,0.344,0.325,0.258,0.302,0.135,0.213,0.059,0.288,1.004,0.481,0.306,0.866,0.382,0.798,1.315,0.611,0.843,0.825,0.423,0.747,0.41,0.312,0.709,0.902,NA,0.859,1.09,0.425,0.383,0.977,0.812,0.322,0.749,0.203,1.116,0.515,0.254,0.459,0.254,0.469,0.428,0.978,0.867,0.869,1.17,1.929,0.95,0.549,0.292,1.34,1.106,0.493,0.276,0.843,1.438,1.413,1.031,1.008,0.97,0.337,0.677,0.618,0.937,1.217,0.737,0.832,1.266,0.518,1.707,1.027,1.265,NA,1.27,1.345,0.442,0.661,1.836,0.517,1.31,0.819,1.378,1.25,1.251,2.069,0.882,NA
1990,Jarbidge,0.408,0.394,0.95,1.118,0.503,0.547,0.671,0.737,0.473,0.721,0.504,0.332,0.51,0.662,1.48,0.565,0.671,0.818,0.811,0.953,0.741,1.388,1.138,0.77,0.76,0.662,1.095,0.759,0.764,0.424,0.567,0.297,0.138,0.705,1.165,0.891,1.077,0.913,0.652,1.358,1.344,0.634,1.062,0.945,0.516,0.586,0.461,0.322,0.765,0.811,NA,0.669,1.796,0.471,0.437,1.007,1.511,0.285,0.904,0.501,1.215,0.764,0.556,0.684,0.395,0.565,0.689,1.403,1.065,1.291,2.109,2.428,0.97,0.796,0.535,0.961,1.099,0.5,0.37,0.83,1.501,1.123,0.819,0.941,0.885,0.394,0.993,1.422,1.249,2.079,0.559,0.504,0.404,0.595,0.424,1.022,0.549,NA,1.013,0.495,0.756,0.515,1.136,1.152,2.654,0.495,0.899,1.717,1.506,1.17,0.922,NA
1991,Jarbidge,0.602,0.65,0.845,1.614,0.58,0.685,0.825,0.746,0.381,0.538,0.49,0.171,0.756,0.447,1.144,0.722,0.843,0.897,0.63,0.68,1.063,1.374,0.675,1.078,1.034,0.981,1.203,1.067,0.824,0.579,0.637,0.872,0.307,1.4,2.01,1.2,1.655,1.592,0.96,1.396,1.207,0.503,0.826,0.722,0.444,0.721,0.368,0.261,1.012,0.938,NA,1.207,1.071,0.593,0.709,1.077,1.088,0.723,0.954,0.719,0.975,1.137,0.509,0.714,0.711,0.672,0.8,0.906,1.303,1.107,2.164,2.124,0.456,0.71,0.53,1.044,1.362,0.737,0.489,0.954,1.813,1.271,0.948,0.998,0.68,0.46,1.126,0.956,1.186,0.93,0.512,0.38,0.477,0.911,1.232,0.669,1.368,NA,1.95,1.454,1.406,0.888,1.794,2.182,2.48,1.595,1.307,1.6,1.642,1.858,2.039,NA
1992,Jarbidge,0.42,0.436,0.49,1.235,0.523,0.6,0.56,0.433,0.339,0.42,0.416,0.163,0.472,0.19,1.157,1.305,0.898,1.264,0.795,1.209,1.235,1.634,1.826,1.314,1.045,0.939,1.023,1.146,0.869,0.565,0.485,0.703,0.298,1.19,1.626,1.016,1.35,1.186,1.207,1.124,0.912,0.904,0.804,0.538,0.524,0.443,0.478,0.511,1.173,0.768,NA,0.591,1.723,0.463,0.51,0.463,0.837,0.303,0.811,0.445,0.59,1.059,0.511,0.493,0.497,0.597,0.601,1.312,1.184,1.162,1.328,1.393,1.226,1.316,0.573,1.376,1.666,0.899,0.734,1.035,3.224,1.805,1.094,1.443,2.263,0.719,1.555,1.5,1.375,1.751,0.817,1.434,0.971,1.003,1.898,2.12,1.928,2.29,1.049,0.866,1.713,0.609,1.586,1.945,0.824,1.167,1.165,1.034,1.415,1.11,1.683,1.669
1993,Jarbidge,0.403,0.168,0.548,0.946,0.74,0.29,0.284,0.26,0.195,0.243,0.231,0.081,0.282,0.167,1.096,1.418,0.777,0.863,0.921,1.215,0.815,0.947,1.968,1.276,1.044,0.865,1.659,1.396,0.864,0.471,0.654,0.984,0.397,1.194,1.802,1.748,2.42,1.717,1.065,1.902,1.093,0.881,1.999,0.819,0.589,0.544,0.515,0.85,1.474,0.843,NA,1.148,2.012,0.518,0.489,0.571,0.818,0.353,0.525,0.781,0.471,0.467,0.355,0.797,0.476,0.549,0.755,1.448,1.473,1.383,1.587,1.737,1.705,0.825,0.536,1.004,1.615,1.771,0.9,0.658,2.997,1.942,0.743,1.421,1.912,0.539,1.217,1.498,1.875,3.221,0.865,1.857,2.301,1.21,1.989,1.626,1.965,0.949,1.243,0.666,0.791,0.556,1.41,1.257,1.105,0.722,1.251,1.464,0.987,1.054,0.797,1.181
1994,Jarbidge,0.687,0.25,0.633,0.771,1.005,0.276,0.401,0.228,0.468,0.326,0.479,0.227,0.297,0.308,1.158,1.555,0.845,1.309,0.743,1.379,1.248,1.203,1.686,1.327,1.103,0.993,1.278,1.405,0.899,0.564,0.802,0.739,0.335,1.238,2.516,1.295,1.675,0.972,0.928,2.476,1.253,0.598,2.048,0.777,0.45,0.452,0.602,1.012,1.125,0.804,NA,0.81,1.497,0.477,0.575,1.082,1.305,0.376,0.932,1.058,0.835,0.931,0.457,0.847,0.528,0.625,0.936,1.116,1.22,1.237,2.031,1.895,1.071,1.082,0.725,1.118,1.529,2.012,0.714,1.104,3.076,1.561,1.07,1.618,1.636,0.875,1.437,1.116,2.225,3.159,0.674,1.529,1.85,1.74,1.449,1.97,2.108,2.091,1.439,1.527,2.249,0.547,1.728,3.146,2.044,1.331,1.955,2.007,2.423,1.585,1.478,1.711
1995,Jarbidge,0.65,0.227,0.796,1.24,0.836,0.293,0.589,0.555,0.289,0.266,0.314,0.162,0.426,0.274,1.812,1.89,0.875,2.163,0.897,1.93,1.892,1.426,1.249,0.949,1.277,1.619,1.079,0.992,0.439,0.531,0.595,0.501,0.228,1.156,2.222,1.256,1.61,1.543,1.739,1.843,0.935,0.48,1.8,0.729,0.535,0.455,0.5,0.827,0.877,0.829,NA,0.968,1.495,0.36,0.367,1.506,0.836,0.4,0.554,0.681,0.571,0.37,0.19,0.448,0.295,0.253,0.487,0.592,0.622,0.815,1.852,1.645,0.357,0.26,0.222,0.229,0.795,1.098,0.46,0.459,1.912,1.071,0.466,0.512,1.298,0.373,0.426,0.932,0.667,1.393,0.642,0.759,0.442,0.887,0.349,0.954,0.818,0.956,1.365,1.027,1.597,0.678,1.854,2.453,1.282,0.898,1.308,1.625,1.813,1.248,1.328,1.322
1996,Jarbidge,0.428,0.187,0.768,0.852,0.905,0.29,0.948,0.387,0.194,0.34,0.456,0.162,0.319,0.137,1.738,1.71,0.996,2.177,0.969,1.95,1.936,1.523,1.309,1.088,1.354,2.093,1.333,1.45,0.856,0.444,0.979,0.791,0.317,1.679,2.303,2.116,2.281,1.82,1.039,1.216,1.033,0.625,2.106,0.779,0.757,0.656,0.635,1.086,1.507,0.983,2.031,1.15,1.943,0.678,0.466,1.443,1.417,0.424,1.015,0.744,0.777,0.615,0.549,0.803,0.46,0.869,1.244,0.851,0.98,1.138,2.097,2.074,0.503,0.404,0.242,0.433,1.087,1.375,0.481,0.766,2.124,1.038,0.665,0.748,1.053,0.437,0.411,1.103,0.617,0.96,0.199,1.169,0.462,1.152,0.646,2.015,1.222,1.396,1.227,1.842,2.377,0.553,1.447,2.577,2.526,1.146,1.348,1.56,1.755,0.915,1.38,2.193
1997,Jarbidge,0.377,0.425,0.856,1.204,0.714,0.388,2.064,0.397,0.24,0.248,0.828,0.162,0.483,0.514,0.58,0.698,0.407,1.969,0.319,0.644,1.326,0.396,0.569,0.438,0.754,1.582,1.4,1.098,0.883,0.948,0.772,0.643,0.411,1.957,2.713,2.373,2.315,1.726,0.292,0.805,0.732,0.732,1.949,0.583,0.482,0.293,0.434,0.581,0.577,1.017,2.285,0.952,1.762,0.754,0.442,1.234,1.085,0.312,0.828,0.385,0.608,0.627,0.537,0.685,0.418,0.682,0.866,0.717,1.149,0.922,2.009,1.446,1.342,0.881,0.642,0.905,1.403,1.588,1.021,0.871,3.18,1.759,1.146,1.491,1.764,0.662,1.067,2.254,1.239,3.56,0.548,1.31,1.168,2.056,1.886,1.135,3.117,1.469,1.422,1.224,1.636,0.633,1.808,1.524,1.848,0.921,1.228,1.246,1.132,0.726,1.512,1.94
1998,Jarbidge,0.373,0.77,1.318,1.241,1.004,0.419,2.311,0.524,0.311,0.412,1.049,0.382,0.741,1,0.783,0.9,0.436,1.503,0.526,1.28,1.204,0.837,0.952,0.487,0.795,1.261,0.799,0.663,0.36,0.465,0.442,0.498,0.202,1.353,1.552,1.346,1.137,1.532,0.255,0.525,0.979,0.654,0.872,0.384,0.444,0.552,0.327,1.594,0.548,1.057,2.101,0.869,1.421,0.357,0.252,1.275,0.983,0.28,0.918,0.498,0.577,0.617,0.443,0.826,0.417,0.631,1.198,0.472,1.078,1.23,2.176,1.978,0.701,0.731,0.577,0.588,1.04,1.018,0.818,0.596,1.8,1.219,1.132,1.16,1.712,0.774,1.055,0.781,0.495,1.836,0.213,0.482,0.404,1.451,0.241,0.694,1.346,0.666,1.358,1.48,1.599,0.617,1.537,1.287,1.613,0.517,1.028,1.058,1.353,0.829,1.071,1.241
1999,Jarbidge,0.721,0.807,1.151,1.377,1.028,0.648,1.972,0.4,0.396,0.38,1.325,0.583,0.652,0.961,1.445,1.141,0.836,1.57,0.834,1.773,0.929,1.276,1.577,1.047,1.128,1.898,1.103,0.901,0.468,0.724,0.741,0.699,0.177,1.562,1.887,1.472,1.888,2.391,0.339,1.272,1.836,0.754,1.542,0.473,0.511,0.453,0.403,0.917,1.093,0.889,2.613,1.858,1.584,0.672,0.539,1.382,1.415,0.456,0.911,0.881,0.953,0.903,0.688,1.082,0.689,1.084,1.82,1.225,1.803,1.708,2.428,2.162,0.836,0.558,0.499,0.483,1.118,1.194,0.795,0.741,1.679,1.641,0.868,0.84,1.269,0.56,0.8,0.813,0.817,1.326,0.245,0.597,0.237,0.903,0.244,0.466,0.815,1.051,0.587,0.774,1.591,0.681,0.956,0.939,1.017,0.636,0.684,0.808,1.093,0.504,0.675,0.801
2000,Jarbidge,0.651,0.855,1.37,0.988,0.987,0.997,2.201,0.345,0.43,0.513,1.485,0.648,0.682,1.029,1.619,1.464,0.938,1.608,0.923,1.586,1.394,1.47,1.666,0.994,0.997,1.934,1.139,1.122,0.793,0.718,0.516,0.847,0.172,1.288,1.811,1.246,1.936,1.377,0.287,1.571,1.365,0.698,0.935,0.621,0.668,0.533,0.477,0.769,1.692,0.84,1.541,1.377,1.412,0.595,0.687,1.662,1.519,0.369,0.601,0.655,0.927,0.802,0.578,1.205,0.661,0.83,1.664,1.025,1.741,1.481,1.651,1.935,0.851,0.693,0.562,0.752,1.28,1.469,0.701,0.63,2.181,1.457,0.872,0.897,1.296,0.344,0.842,1.078,0.592,0.972,0.507,0.554,0.718,0.823,0.639,0.536,1.424,1.457,0.559,0.557,2.109,0.445,0.665,1.587,1.42,0.845,0.804,0.807,1.075,0.774,1.305,1.271
2001,Jarbidge,0.384,0.771,1.038,1.066,0.826,0.476,1.405,0.338,0.331,0.314,1.29,0.484,0.394,0.808,1.165,1.276,0.822,0.365,0.915,2.189,0.565,1.292,1.444,0.985,0.842,0.951,1.274,1.039,0.747,0.622,0.283,0.487,0.227,0.901,1.594,0.802,1.614,0.493,0.296,1.997,1.096,0.33,1.597,0.488,0.498,0.147,0.336,0.738,0.918,0.483,1.501,0.543,1.753,0.583,0.484,1.469,1.599,0.404,0.818,0.394,0.754,1.163,0.44,0.878,0.603,0.614,0.918,1.198,1.178,1.012,2.11,1.491,0.297,0.329,0.296,0.268,0.671,0.493,0.479,0.477,1.02,0.798,0.487,0.621,0.517,0.144,0.38,1.297,1.009,2.199,0.672,1.928,1.51,0.75,2.429,1.539,1.27,1.819,0.935,0.906,1.977,0.53,0.546,1.159,1.342,0.771,0.607,0.972,0.977,0.821,1.25,1.253
